,Genome,time_create,mother,age
43,Right Chemo Down Foto Eat Right Chemo Eat Up Foto Foto Up Up Eat Down Eat Right Right Left Chemo Up Foto Left Right Right,0,-1,8
44,Left Left Up Right Left Up Left Right Foto Right Down Eat Foto Chemo Eat Up Left Right Foto Foto Eat Right Right Right Up,0,-1,1
45,Right Foto Chemo Up Foto Chemo Chemo Up Right Left Up Left Up Chemo Down Chemo Down Down Chemo Up Left Up Up Left Up,0,-1,1
46,Foto Down Down Up Right Eat Foto Down Eat Up Left Down Left Foto Foto Foto Up Left Eat Foto Down Eat Down Down Right,0,-1,5
47,Right Left Chemo Left Foto Up Chemo Right Foto Foto Right Right Foto Chemo Left Right Foto Down Down Right Left Up Left Foto Left,0,-1,133
48,Eat Up Down Eat Right Chemo Down Right Down Foto Foto Down Chemo Right Left Up Down Up Foto Foto Down Down Up Left Down,0,-1,10
49,Eat Eat Eat Chemo Foto Down Left Foto Down Eat Left Right Foto Chemo Eat Chemo Right Up Up Foto Eat Up Eat Foto Down,0,-1,23
50,Left Eat Foto Left Eat Left Chemo Foto Down Eat Left Chemo Down Left Up Foto Down Eat Left Chemo Chemo Chemo Left Eat Foto,0,-1,10
51,Chemo Right Eat Right Up Foto Down Right Right Right Chemo Down Right Eat Up Chemo Eat Left Left Down Right Eat Left Eat Right,0,-1,11
52,Eat Right Down Chemo Up Foto Left Right Down Up Eat Foto Eat Eat Foto Left Left Up Eat Eat Down Eat Foto Down Right,0,-1,270
53,Left Down Down Foto Eat Foto Left Eat Down Chemo Foto Up Eat Foto Down Eat Foto Down Up Right Left Up Right Foto Up,0,-1,13
54,Foto Down Down Foto Eat Eat Right Eat Down Eat Eat Eat Eat Foto Left Left Down Chemo Up Up Eat Right Up Chemo Up,0,-1,15
55,Down Eat Right Up Left Left Up Right Foto Down Right Right Eat Down Up Eat Left Foto Eat Chemo Foto Foto Chemo Chemo Up,0,-1,7
56,Left Chemo Left Down Down Left Foto Up Left Chemo Chemo Right Left Down Right Eat Right Chemo Chemo Right Down Up Eat Right Chemo,0,-1,6
57,Foto Eat Right Down Down Foto Down Up Foto Eat Down Right Up Left Left Down Down Right Down Right Down Foto Eat Foto Down,0,-1,14
58,Left Down Chemo Chemo Eat Eat Down Left Eat Up Foto Up Down Up Left Left Left Eat Eat Left Down Foto Eat Eat Up,0,-1,12
59,Foto Up Chemo Up Left Chemo Up Right Right Up Up Down Eat Up Eat Down Eat Eat Up Up Up Eat Down Right Chemo,0,-1,24
60,Chemo Eat Eat Down Up Chemo Foto Foto Foto Up Right Right Right Right Down Foto Right Foto Up Down Down Right Up Eat Down,0,-1,10
61,Down Down Down Up Chemo Chemo Foto Left Right Down Down Right Left Eat Foto Chemo Down Down Up Eat Foto Down Foto Eat Chemo,0,-1,9
62,Eat Chemo Right Foto Chemo Up Left Eat Right Left Down Up Foto Eat Down Left Right Left Eat Chemo Chemo Chemo Right Up Up,0,-1,65
63,Up Left Foto Chemo Up Eat Left Left Eat Left Up Right Eat Eat Down Up Right Chemo Left Left Left Left Up Right Right,0,-1,6
64,Left Up Eat Up Left Up Down Left Chemo Left Right Foto Up Down Chemo Left Left Eat Right Eat Left Right Left Down Left,0,-1,19
65,Foto Up Left Up Eat Chemo Left Left Chemo Up Foto Down Eat Right Down Right Up Down Down Right Right Foto Left Up Up,0,-1,6
66,Down Left Left Left Eat Right Right Foto Down Up Chemo Right Eat Chemo Foto Eat Down Left Right Right Chemo Foto Eat Down Foto,0,-1,61
67,Left Foto Chemo Down Foto Right Up Right Up Left Down Foto Down Down Foto Up Eat Up Up Down Right Up Chemo Down Chemo,0,-1,10
68,Down Chemo Chemo Chemo Chemo Right Up Eat Left Chemo Left Eat Foto Right Down Foto Down Left Foto Down Left Foto Up Left Foto,0,-1,6
69,Left Down Chemo Left Up Eat Right Down Down Left Eat Foto Up Up Eat Down Left Down Up Right Chemo Up Up Foto Foto,0,-1,8
70,Down Chemo Left Down Eat Right Right Right Left Chemo Eat Down Left Down Eat Foto Chemo Left Up Up Chemo Down Up Eat Left,0,-1,11
71,Down Chemo Eat Chemo Chemo Left Down Right Chemo Left Left Left Down Chemo Foto Down Right Chemo Left Up Foto Chemo Foto Down Eat,0,-1,8
72,Foto Right Left Eat Chemo Right Right Left Down Chemo Chemo Foto Down Up Right Up Up Foto Eat Chemo Chemo Up Right Down Right,0,-1,21
73,Up Up Down Foto Chemo Eat Up Chemo Left Foto Left Up Down Eat Chemo Right Eat Foto Foto Down Chemo Right Foto Foto Right,0,-1,120
74,Chemo Right Chemo Left Up Up Foto Chemo Eat Chemo Chemo Eat Chemo Chemo Down Chemo Chemo Foto Eat Chemo Up Left Chemo Left Eat,0,-1,6
75,Foto Foto Down Down Up Chemo Foto Foto Left Eat Right Chemo Right Eat Down Left Chemo Right Foto Right Up Right Up Down Right,0,-1,8
76,Chemo Chemo Down Left Up Eat Up Foto Up Right Up Eat Left Chemo Left Right Right Down Right Right Right Chemo Up Left Right,0,-1,6
77,Up Up Right Eat Down Left Foto Up Left Eat Eat Down Left Eat Left Left Right Chemo Chemo Foto Eat Up Foto Eat Eat,0,-1,5
78,Chemo Chemo Right Foto Down Foto Left Chemo Right Up Eat Eat Up Left Eat Foto Right Foto Eat Up Left Chemo Up Up Eat,0,-1,9
79,Eat Right Up Right Left Down Foto Up Chemo Up Left Foto Up Right Eat Down Left Foto Down Left Chemo Eat Right Right Foto,0,-1,4
80,Down Eat Chemo Down Up Right Foto Left Right Left Down Down Foto Down Eat Down Foto Eat Down Down Foto Down Eat Down Down,0,-1,10
81,Foto Right Foto Foto Eat Foto Up Eat Eat Eat Left Left Right Chemo Foto Up Left Chemo Eat Eat Down Up Foto Eat Foto,0,-1,8
82,Up Foto Eat Eat Eat Chemo Eat Up Chemo Left Chemo Up Up Eat Foto Chemo Left Eat Down Left Right Chemo Down Left Down,0,-1,37
83,Foto Eat Right Left Left Left Up Down Down Up Eat Left Down Left Left Up Up Up Down Chemo Chemo Foto Left Foto Left,0,-1,16
84,Eat Eat Eat Chemo Left Foto Down Left Chemo Left Foto Eat Left Eat Foto Right Left Right Left Up Right Up Foto Right Right,0,-1,5
85,Chemo Chemo Left Eat Chemo Left Left Left Up Foto Chemo Chemo Eat Foto Foto Down Foto Right Right Chemo Up Down Up Left Right,0,-1,119
86,Down Up Foto Eat Down Up Up Down Left Right Eat Left Left Down Down Down Eat Eat Eat Foto Up Foto Eat Chemo Eat,0,-1,6
87,Foto Foto Down Left Down Down Down Eat Chemo Right Down Eat Down Foto Right Eat Chemo Down Foto Down Eat Chemo Left Eat Up,0,-1,12
88,Chemo Left Eat Right Foto Foto Up Right Chemo Foto Down Right Eat Down Eat Chemo Right Foto Left Up Chemo Down Foto Eat Chemo,0,-1,10
89,Up Right Up Eat Down Right Chemo Right Eat Eat Eat Chemo Right Eat Left Chemo Down Foto Foto Up Chemo Eat Eat Up Left,0,-1,3
90,Up Down Down Down Chemo Down Right Down Left Left Left Right Eat Chemo Foto Right Right Eat Right Eat Eat Right Foto Eat Up,0,-1,9
91,Down Up Left Chemo Chemo Down Up Eat Foto Right Chemo Down Foto Down Chemo Up Down Down Left Up Down Right Down Up Left,0,-1,6
92,Right Right Down Down Down Chemo Right Chemo Down Down Right Chemo Down Foto Up Down Down Down Foto Left Down Eat Down Left Down,0,-1,7
